ID,Positively charged,Negatively charged,Polarity,Non polarity,Cyclic,Aromaticity,Basicity,Hydrophobicity,Hydrophilicity,Small
1,0.061,0.091,0.424,0.394,0.0,0.152,0.061,0.485,0.091,0.636
2,0.2,0.067,0.2,0.467,0.067,0.133,0.2,0.467,0.333,0.533
3,0.137,0.098,0.412,0.294,0.02,0.098,0.137,0.49,0.216,0.549
4,0.226,0.075,0.377,0.302,0.019,0.075,0.226,0.453,0.264,0.585
5,0.321,0.062,0.235,0.37,0.025,0.099,0.321,0.395,0.358,0.42
6,0.308,0.051,0.103,0.462,0.0,0.051,0.308,0.385,0.385,0.513
7,0.243,0.086,0.214,0.443,0.057,0.057,0.243,0.486,0.314,0.371
8,0.145,0.065,0.306,0.452,0.048,0.129,0.145,0.581,0.226,0.435
9,0.154,0.0,0.385,0.385,0.077,0.154,0.154,0.615,0.308,0.615
10,0.14,0.047,0.256,0.488,0.0,0.047,0.14,0.535,0.209,0.651
11,0.159,0.063,0.286,0.413,0.095,0.063,0.159,0.492,0.333,0.556
12,0.17,0.191,0.085,0.553,0.0,0.0,0.17,0.383,0.17,0.617
13,0.25,0.5,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25
14,0.418,0.03,0.149,0.358,0.0,0.075,0.418,0.373,0.463,0.373
15,0.375,0.0,0.0,0.625,0.25,0.375,0.375,0.625,0.625,0.25
16,0.172,0.149,0.253,0.356,0.0,0.115,0.172,0.402,0.241,0.414
17,0.205,0.026,0.231,0.538,0.026,0.013,0.205,0.154,0.231,0.551
18,0.129,0.082,0.318,0.424,0.059,0.024,0.129,0.482,0.235,0.494
19,0.556,0.0,0.111,0.333,0.0,0.333,0.556,0.333,0.556,0.0
20,0.176,0.039,0.353,0.314,0.039,0.118,0.176,0.412,0.333,0.549
21,0.375,0.016,0.109,0.484,0.047,0.047,0.375,0.469,0.438,0.422
22,0.29,0.07,0.21,0.4,0.05,0.05,0.29,0.41,0.37,0.38
23,0.22,0.08,0.34,0.28,0.0,0.12,0.22,0.42,0.3,0.56
24,0.112,0.05,0.25,0.525,0.05,0.112,0.112,0.612,0.225,0.575
25,0.296,0.148,0.222,0.259,0.037,0.259,0.296,0.185,0.407,0.333
26,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0
27,0.129,0.145,0.306,0.371,0.081,0.145,0.129,0.435,0.258,0.532
28,0.256,0.128,0.198,0.384,0.012,0.07,0.256,0.419,0.302,0.43
29,0.136,0.0,0.5,0.318,0.136,0.0,0.136,0.591,0.318,0.5
30,0.187,0.132,0.11,0.527,0.055,0.066,0.187,0.527,0.286,0.505
31,0.123,0.053,0.351,0.386,0.035,0.053,0.123,0.474,0.246,0.632
32,0.136,0.045,0.295,0.386,0.0,0.114,0.136,0.432,0.273,0.659
33,0.206,0.118,0.206,0.441,0.044,0.0,0.206,0.485,0.279,0.485
34,0.209,0.134,0.164,0.463,0.03,0.015,0.209,0.478,0.269,0.507
35,0.141,0.155,0.183,0.479,0.0,0.056,0.141,0.521,0.183,0.451
36,0.209,0.07,0.256,0.419,0.023,0.081,0.209,0.488,0.279,0.477
37,0.176,0.02,0.314,0.392,0.059,0.098,0.176,0.49,0.333,0.569
38,0.171,0.0,0.293,0.463,0.098,0.049,0.171,0.561,0.341,0.585
39,0.165,0.165,0.132,0.516,0.066,0.011,0.165,0.396,0.253,0.615
40,0.195,0.049,0.293,0.439,0.0,0.098,0.195,0.463,0.22,0.61
41,0.211,0.0,0.105,0.684,0.0,0.053,0.211,0.632,0.211,0.368
42,0.283,0.051,0.212,0.394,0.03,0.111,0.283,0.414,0.374,0.354
43,0.222,0.0,0.333,0.333,0.0,0.222,0.222,0.333,0.333,0.556
44,0.222,0.056,0.352,0.333,0.074,0.056,0.222,0.519,0.333,0.519
45,0.247,0.062,0.124,0.557,0.041,0.103,0.247,0.546,0.299,0.454
46,0.196,0.118,0.235,0.373,0.059,0.078,0.196,0.51,0.333,0.471
47,0.177,0.194,0.161,0.435,0.0,0.016,0.177,0.419,0.21,0.177
48,0.129,0.129,0.2,0.482,0.047,0.118,0.129,0.471,0.235,0.435
49,0.19,0.19,0.048,0.571,0.0,0.0,0.19,0.381,0.19,0.643
50,0.286,0.071,0.143,0.429,0.0,0.0,0.286,0.429,0.357,0.143
51,0.255,0.118,0.216,0.392,0.176,0.078,0.255,0.49,0.451,0.51
52,0.141,0.169,0.141,0.493,0.042,0.085,0.141,0.549,0.239,0.408
53,0.258,0.152,0.152,0.394,0.0,0.03,0.258,0.424,0.303,0.242
54,0.159,0.25,0.159,0.386,0.0,0.068,0.159,0.432,0.205,0.386
55,0.333,0.083,0.0,0.583,0.0,0.0,0.333,0.583,0.333,0.5
56,0.158,0.123,0.263,0.404,0.018,0.07,0.158,0.474,0.228,0.614
57,0.128,0.085,0.426,0.319,0.043,0.106,0.128,0.511,0.213,0.66
58,0.177,0.146,0.167,0.458,0.021,0.031,0.177,0.448,0.25,0.49
59,0.012,0.048,0.214,0.643,0.06,0.048,0.012,0.464,0.155,0.738
60,0.262,0.062,0.246,0.354,0.031,0.062,0.262,0.446,0.369,0.492
61,0.5,0.167,0.167,0.167,0.0,0.1,0.5,0.033,0.5,0.233
62,0.179,0.026,0.308,0.41,0.0,0.103,0.179,0.564,0.256,0.615
63,0.167,0.0,0.25,0.583,0.167,0.25,0.167,0.75,0.333,0.5
64,0.059,0.059,0.368,0.412,0.044,0.088,0.059,0.485,0.206,0.721
65,0.206,0.079,0.333,0.302,0.032,0.095,0.206,0.46,0.317,0.571
66,0.179,0.149,0.239,0.388,0.03,0.194,0.179,0.478,0.254,0.448
67,0.086,0.121,0.328,0.431,0.069,0.034,0.086,0.552,0.19,0.655
68,0.5,0.0,0.083,0.417,0.0,0.083,0.5,0.5,0.5,0.25
69,0.173,0.096,0.365,0.308,0.038,0.096,0.173,0.5,0.269,0.538
70,0.146,0.073,0.268,0.463,0.0,0.049,0.146,0.463,0.195,0.268
71,0.156,0.031,0.156,0.656,0.0,0.031,0.156,0.375,0.156,0.5
72,0.146,0.195,0.098,0.512,0.073,0.073,0.146,0.488,0.268,0.39
73,0.162,0.162,0.279,0.338,0.015,0.103,0.162,0.426,0.235,0.397
74,0.133,0.067,0.467,0.267,0.0,0.067,0.133,0.333,0.2,0.533
75,0.19,0.111,0.222,0.413,0.032,0.079,0.19,0.397,0.286,0.397
76,0.333,0.083,0.25,0.333,0.0,0.0,0.333,0.417,0.333,0.417
77,0.146,0.122,0.293,0.366,0.049,0.171,0.146,0.415,0.268,0.634
78,0.212,0.182,0.091,0.455,0.03,0.121,0.212,0.424,0.303,0.273
79,0.176,0.039,0.333,0.353,0.059,0.098,0.176,0.451,0.333,0.569
80,0.067,0.2,0.0,0.667,0.067,0.067,0.067,0.533,0.2,0.667
81,0.333,0.0,0.0,0.667,0.0,0.0,0.333,0.667,0.333,0.417
82,0.193,0.216,0.102,0.432,0.045,0.034,0.193,0.466,0.295,0.511
83,0.12,0.12,0.36,0.373,0.0,0.04,0.12,0.427,0.147,0.533
84,0.267,0.105,0.163,0.43,0.023,0.07,0.267,0.453,0.326,0.419
85,0.212,0.047,0.282,0.459,0.024,0.071,0.212,0.494,0.235,0.541
86,0.114,0.023,0.318,0.5,0.0,0.023,0.114,0.523,0.159,0.341
87,0.333,0.0,0.0,0.667,0.0,0.0,0.333,0.667,0.333,0.417
88,0.149,0.128,0.277,0.362,0.0,0.043,0.149,0.447,0.234,0.426
89,0.191,0.124,0.258,0.393,0.067,0.067,0.191,0.438,0.292,0.506
90,0.306,0.041,0.204,0.388,0.02,0.102,0.306,0.367,0.388,0.449
91,0.24,0.06,0.3,0.28,0.0,0.1,0.24,0.38,0.36,0.58
92,0.3,0.0,0.0,0.7,0.0,0.0,0.3,0.7,0.3,0.4
93,0.04,0.12,0.38,0.46,0.04,0.2,0.04,0.56,0.08,0.42
94,0.078,0.062,0.359,0.375,0.047,0.047,0.078,0.469,0.25,0.688
95,0.117,0.117,0.283,0.45,0.017,0.167,0.117,0.567,0.167,0.467
96,0.121,0.152,0.273,0.424,0.091,0.061,0.121,0.576,0.242,0.606
97,0.213,0.043,0.191,0.511,0.064,0.149,0.213,0.574,0.319,0.383
98,0.267,0.089,0.144,0.489,0.067,0.056,0.267,0.456,0.344,0.444
99,0.151,0.057,0.113,0.642,0.0,0.113,0.151,0.547,0.189,0.415
100,0.378,0.022,0.133,0.4,0.022,0.044,0.378,0.4,0.467,0.422
101,0.118,0.147,0.353,0.324,0.029,0.118,0.118,0.471,0.206,0.471
102,0.171,0.143,0.229,0.429,0.0,0.0,0.171,0.457,0.2,0.514
103,0.06,0.075,0.269,0.537,0.06,0.119,0.06,0.642,0.179,0.463
104,0.113,0.113,0.396,0.321,0.075,0.113,0.113,0.453,0.245,0.623
105,0.14,0.06,0.26,0.52,0.09,0.03,0.14,0.63,0.25,0.65
106,0.217,0.087,0.315,0.359,0.022,0.043,0.217,0.446,0.261,0.554
107,0.381,0.048,0.19,0.333,0.0,0.024,0.381,0.333,0.429,0.381
108,0.224,0.102,0.408,0.204,0.02,0.082,0.224,0.388,0.306,0.551
109,0.211,0.0,0.316,0.421,0.053,0.211,0.211,0.526,0.316,0.526
110,0.312,0.0,0.156,0.531,0.031,0.125,0.312,0.469,0.344,0.344
111,0.216,0.118,0.255,0.392,0.176,0.078,0.216,0.49,0.412,0.529
112,0.24,0.06,0.36,0.26,0.0,0.1,0.24,0.42,0.32,0.58
113,0.231,0.077,0.231,0.385,0.0,0.154,0.231,0.385,0.308,0.462
114,0.2,0.108,0.262,0.4,0.092,0.092,0.2,0.477,0.323,0.554
115,0.273,0.078,0.182,0.442,0.026,0.078,0.273,0.442,0.325,0.442
116,0.182,0.045,0.227,0.5,0.091,0.182,0.182,0.545,0.318,0.364
117,0.25,0.0,0.083,0.667,0.0,0.417,0.25,0.75,0.25,0.167
118,0.146,0.112,0.146,0.483,0.034,0.112,0.146,0.449,0.292,0.438
119,0.412,0.0,0.118,0.471,0.0,0.235,0.412,0.471,0.412,0.176
120,0.097,0.048,0.194,0.629,0.048,0.145,0.097,0.71,0.177,0.516
